,ds,y,ARRECADACAO_D-5,ARRECADACAO_D-4,ARRECADACAO_D-3,ARRECADACAO_D-2,ARRECADACAO_D-1
38,2009-03-04,6217836.132289314,14427685.95531166,34261550.6701153,2950970.38337579,7491516.370190384,6439678.897078919
39,2009-03-05,5993919.361453036,34261550.6701153,2950970.38337579,7491516.370190384,6439678.897078919,6217836.132289314
40,2009-03-06,7230768.218765889,2950970.38337579,7491516.370190384,6439678.897078919,6217836.132289314,5993919.361453036
41,2009-03-09,8010896.730784487,7491516.370190384,6439678.897078919,6217836.132289314,5993919.361453036,7230768.218765889
42,2009-03-10,6921205.8495062385,6439678.897078919,6217836.132289314,5993919.361453036,7230768.218765889,8010896.730784487
43,2009-03-11,6488013.40439501,6217836.132289314,5993919.361453036,7230768.218765889,8010896.730784487,6921205.8495062385
44,2009-03-12,6309040.511590455,5993919.361453036,7230768.218765889,8010896.730784487,6921205.8495062385,6488013.40439501
45,2009-03-13,6330470.087688912,7230768.218765889,8010896.730784487,6921205.8495062385,6488013.40439501,6309040.511590455
46,2009-03-16,7724065.945223929,8010896.730784487,6921205.8495062385,6488013.40439501,6309040.511590455,6330470.087688912
47,2009-03-17,6857994.683247411,6921205.8495062385,6488013.40439501,6309040.511590455,6330470.087688912,7724065.945223929
48,2009-03-18,7004539.844726929,6488013.40439501,6309040.511590455,6330470.087688912,7724065.945223929,6857994.683247411
49,2009-03-19,6443265.26175406,6309040.511590455,6330470.087688912,7724065.945223929,6857994.683247411,7004539.844726929
50,2009-03-20,7084368.494041608,6330470.087688912,7724065.945223929,6857994.683247411,7004539.844726929,6443265.26175406
51,2009-03-23,9158645.860533485,7724065.945223929,6857994.683247411,7004539.844726929,6443265.26175406,7084368.494041608
52,2009-03-24,8153429.143052908,6857994.683247411,7004539.844726929,6443265.26175406,7084368.494041608,9158645.860533485
53,2009-03-25,9120160.03449535,7004539.844726929,6443265.26175406,7084368.494041608,9158645.860533485,8153429.143052908
54,2009-03-26,9158134.685451094,6443265.26175406,7084368.494041608,9158645.860533485,8153429.143052908,9120160.03449535
55,2009-03-27,12114784.513596693,7084368.494041608,9158645.860533485,8153429.143052908,9120160.03449535,9158134.685451094
56,2009-03-30,24004396.10562794,9158645.860533485,8153429.143052908,9120160.03449535,9158134.685451094,12114784.513596693
57,2009-03-31,46420269.686594866,8153429.143052908,9120160.03449535,9158134.685451094,12114784.513596693,24004396.10562794
58,2009-04-01,9852518.121413426,9120160.03449535,9158134.685451094,12114784.513596693,24004396.10562794,46420269.686594866
59,2009-04-02,8995434.094723083,9158134.685451094,12114784.513596693,24004396.10562794,46420269.686594866,9852518.121413426
60,2009-04-03,10291786.426676195,12114784.513596693,24004396.10562794,46420269.686594866,9852518.121413426,8995434.094723083
61,2009-04-06,16769110.24384802,24004396.10562794,46420269.686594866,9852518.121413426,8995434.094723083,10291786.426676195
62,2009-04-07,24731247.066723347,46420269.686594866,9852518.121413426,8995434.094723083,10291786.426676195,16769110.24384802
63,2009-04-08,14196555.294489086,9852518.121413426,8995434.094723083,10291786.426676195,16769110.24384802,24731247.066723347
64,2009-04-09,13851310.76425796,8995434.094723083,10291786.426676195,16769110.24384802,24731247.066723347,14196555.294489086
65,2009-04-13,18972423.75117847,10291786.426676195,16769110.24384802,24731247.066723347,14196555.294489086,13851310.76425796
66,2009-04-14,26863749.0914412,16769110.24384802,24731247.066723347,14196555.294489086,13851310.76425796,18972423.75117847
67,2009-04-15,26239129.288802672,24731247.066723347,14196555.294489086,13851310.76425796,18972423.75117847,26863749.0914412
68,2009-04-16,16860695.189928018,14196555.294489086,13851310.76425796,18972423.75117847,26863749.0914412,26239129.288802672
69,2009-04-17,23072899.272955272,13851310.76425796,18972423.75117847,26863749.0914412,26239129.288802672,16860695.189928018
70,2009-04-20,19431646.28094926,18972423.75117847,26863749.0914412,26239129.288802672,16860695.189928018,23072899.272955272
71,2009-04-22,27150691.1405822,26863749.0914412,26239129.288802672,16860695.189928018,23072899.272955272,19431646.28094926
72,2009-04-23,22650905.194250517,26239129.288802672,16860695.189928018,23072899.272955272,19431646.28094926,27150691.1405822
73,2009-04-24,15294594.836261908,16860695.189928018,23072899.272955272,19431646.28094926,27150691.1405822,22650905.194250517
74,2009-04-27,16860368.080864087,23072899.272955272,19431646.28094926,27150691.1405822,22650905.194250517,15294594.836261908
75,2009-04-28,13813773.6695614,19431646.28094926,27150691.1405822,22650905.194250517,15294594.836261908,16860368.080864087
76,2009-04-29,13684417.816136803,27150691.1405822,22650905.194250517,15294594.836261908,16860368.080864087,13813773.6695614
77,2009-04-30,20608655.174757563,22650905.194250517,15294594.836261908,16860368.080864087,13813773.6695614,13684417.816136803
78,2009-05-04,25291706.756248575,15294594.836261908,16860368.080864087,13813773.6695614,13684417.816136803,20608655.174757563
79,2009-05-05,30499505.65316952,16860368.080864087,13813773.6695614,13684417.816136803,20608655.174757563,25291706.756248575
80,2009-05-06,19770519.189496394,13813773.6695614,13684417.816136803,20608655.174757563,25291706.756248575,30499505.65316952
81,2009-05-07,27815059.28735343,13684417.816136803,20608655.174757563,25291706.756248575,30499505.65316952,19770519.189496394
82,2009-05-08,20793884.542516533,20608655.174757563,25291706.756248575,30499505.65316952,19770519.189496394,27815059.28735343
83,2009-05-11,27332874.52758003,25291706.756248575,30499505.65316952,19770519.189496394,27815059.28735343,20793884.542516533
84,2009-05-12,28295713.285672072,30499505.65316952,19770519.189496394,27815059.28735343,20793884.542516533,27332874.52758003
85,2009-05-13,18870567.968900796,19770519.189496394,27815059.28735343,20793884.542516533,27332874.52758003,28295713.285672072
86,2009-05-14,23233176.609936863,27815059.28735343,20793884.542516533,27332874.52758003,28295713.285672072,18870567.968900796
87,2009-05-15,18318357.705773473,20793884.542516533,27332874.52758003,28295713.285672072,18870567.968900796,23233176.609936863
