,ds,y,PIB_RS_TRIMESTRE_ANTERIOR,PIB_BR_MES_ANTERIOR,ADMISSOES_MES_ANTERIOR,DEMISSOES_MES_ANTERIOR,ARRECADACAO_D-5,ARRECADACAO_D-4,ARRECADACAO_D-3,ARRECADACAO_D-2,ARRECADACAO_D-1
2637,2019-03-21,52230106.05043665,130.959654107773,805286.4373594566,1453284.0,1280145.0,118598604.29203089,29360498.249627024,27815431.10196791,25680291.238976344,36026219.2460787
2638,2019-03-22,86142692.41775674,130.959654107773,805286.4373594566,1453284.0,1280145.0,29360498.249627024,27815431.10196791,25680291.238976344,36026219.2460787,52230106.05043665
2639,2019-03-25,562079840.9583826,130.959654107773,805286.4373594566,1453284.0,1280145.0,27815431.10196791,25680291.238976344,36026219.2460787,52230106.05043665,86142692.41775674
2640,2019-03-26,26565217.037323285,130.959654107773,805286.4373594566,1453284.0,1280145.0,25680291.238976344,36026219.2460787,52230106.05043665,86142692.41775674,562079840.9583826
2641,2019-03-27,293408040.5739174,130.959654107773,805286.4373594566,1453284.0,1280145.0,36026219.2460787,52230106.05043665,86142692.41775674,562079840.9583826,26565217.037323285
2642,2019-03-28,21418572.129292727,130.959654107773,805286.4373594566,1453284.0,1280145.0,52230106.05043665,86142692.41775674,562079840.9583826,26565217.037323285,293408040.5739174
2643,2019-03-29,236459918.85597816,130.959654107773,805286.4373594566,1453284.0,1280145.0,86142692.41775674,562079840.9583826,26565217.037323285,293408040.5739174,21418572.129292727
2644,2019-03-31,20255245.55395556,130.959654107773,805286.4373594566,1453284.0,1280145.0,562079840.9583826,26565217.037323285,293408040.5739174,21418572.129292727,236459918.85597816
2645,2019-04-01,20266034.80439325,132.785272926186,810968.4204315165,1261177.0,1304373.0,26565217.037323285,293408040.5739174,21418572.129292727,236459918.85597816,20255245.55395556
2646,2019-04-02,18376676.055170905,132.785272926186,810968.4204315165,1261177.0,1304373.0,293408040.5739174,21418572.129292727,236459918.85597816,20255245.55395556,20266034.80439325
2647,2019-04-03,16868325.71914279,132.785272926186,810968.4204315165,1261177.0,1304373.0,21418572.129292727,236459918.85597816,20255245.55395556,20266034.80439325,18376676.055170905
2648,2019-04-04,23043512.640322153,132.785272926186,810968.4204315165,1261177.0,1304373.0,236459918.85597816,20255245.55395556,20266034.80439325,18376676.055170905,16868325.71914279
2649,2019-04-05,32613916.02346897,132.785272926186,810968.4204315165,1261177.0,1304373.0,20255245.55395556,20266034.80439325,18376676.055170905,16868325.71914279,23043512.640322153
2650,2019-04-08,96865620.90899293,132.785272926186,810968.4204315165,1261177.0,1304373.0,20266034.80439325,18376676.055170905,16868325.71914279,23043512.640322153,32613916.02346897
2651,2019-04-09,687848081.7873337,132.785272926186,810968.4204315165,1261177.0,1304373.0,18376676.055170905,16868325.71914279,23043512.640322153,32613916.02346897,96865620.90899293
2652,2019-04-10,326130026.2491264,132.785272926186,810968.4204315165,1261177.0,1304373.0,16868325.71914279,23043512.640322153,32613916.02346897,96865620.90899293,687848081.7873337
2653,2019-04-11,74601337.74022491,132.785272926186,810968.4204315165,1261177.0,1304373.0,23043512.640322153,32613916.02346897,96865620.90899293,687848081.7873337,326130026.2491264
2654,2019-04-12,1272845560.152829,132.785272926186,810968.4204315165,1261177.0,1304373.0,32613916.02346897,96865620.90899293,687848081.7873337,326130026.2491264,74601337.74022491
2655,2019-04-15,40452348.86964486,132.785272926186,810968.4204315165,1261177.0,1304373.0,96865620.90899293,687848081.7873337,326130026.2491264,74601337.74022491,1272845560.152829
2656,2019-04-16,135030476.91012383,132.785272926186,810968.4204315165,1261177.0,1304373.0,687848081.7873337,326130026.2491264,74601337.74022491,1272845560.152829,40452348.86964486
2657,2019-04-17,27233941.34892487,132.785272926186,810968.4204315165,1261177.0,1304373.0,326130026.2491264,74601337.74022491,1272845560.152829,40452348.86964486,135030476.91012383
2658,2019-04-18,29766119.341154344,132.785272926186,810968.4204315165,1261177.0,1304373.0,74601337.74022491,1272845560.152829,40452348.86964486,135030476.91012383,27233941.34892487
2659,2019-04-22,85231966.84861825,132.785272926186,810968.4204315165,1261177.0,1304373.0,1272845560.152829,40452348.86964486,135030476.91012383,27233941.34892487,29766119.341154344
2660,2019-04-23,89199291.78766336,132.785272926186,810968.4204315165,1261177.0,1304373.0,40452348.86964486,135030476.91012383,27233941.34892487,29766119.341154344,85231966.84861825
2661,2019-04-24,82979844.9443926,132.785272926186,810968.4204315165,1261177.0,1304373.0,135030476.91012383,27233941.34892487,29766119.341154344,85231966.84861825,89199291.78766336
2662,2019-04-25,535224068.9144466,132.785272926186,810968.4204315165,1261177.0,1304373.0,27233941.34892487,29766119.341154344,85231966.84861825,89199291.78766336,82979844.9443926
2663,2019-04-26,36415424.83591623,132.785272926186,810968.4204315165,1261177.0,1304373.0,29766119.341154344,85231966.84861825,89199291.78766336,82979844.9443926,535224068.9144466
2664,2019-04-29,265701638.57631564,132.785272926186,810968.4204315165,1261177.0,1304373.0,85231966.84861825,89199291.78766336,82979844.9443926,535224068.9144466,36415424.83591623
2665,2019-04-30,248088176.61199847,132.785272926186,810968.4204315165,1261177.0,1304373.0,89199291.78766336,82979844.9443926,535224068.9144466,36415424.83591623,265701638.57631564
2666,2019-05-03,43933685.91862352,132.785272926186,822655.0366602408,1374628.0,1245027.0,82979844.9443926,535224068.9144466,36415424.83591623,265701638.57631564,248088176.61199847
2667,2019-05-06,17795705.23165749,132.785272926186,822655.0366602408,1374628.0,1245027.0,535224068.9144466,36415424.83591623,265701638.57631564,248088176.61199847,43933685.91862352
2668,2019-05-07,40893576.955520034,132.785272926186,822655.0366602408,1374628.0,1245027.0,36415424.83591623,265701638.57631564,248088176.61199847,43933685.91862352,17795705.23165749
2669,2019-05-08,57304260.79416496,132.785272926186,822655.0366602408,1374628.0,1245027.0,265701638.57631564,248088176.61199847,43933685.91862352,17795705.23165749,40893576.955520034
2670,2019-05-09,493279337.805929,132.785272926186,822655.0366602408,1374628.0,1245027.0,248088176.61199847,43933685.91862352,17795705.23165749,40893576.955520034,57304260.79416496
2671,2019-05-10,779240540.7178217,132.785272926186,822655.0366602408,1374628.0,1245027.0,43933685.91862352,17795705.23165749,40893576.955520034,57304260.79416496,493279337.805929
2672,2019-05-13,910520753.1844151,132.785272926186,822655.0366602408,1374628.0,1245027.0,17795705.23165749,40893576.955520034,57304260.79416496,493279337.805929,779240540.7178217
2673,2019-05-14,130053542.96806316,132.785272926186,822655.0366602408,1374628.0,1245027.0,40893576.955520034,57304260.79416496,493279337.805929,779240540.7178217,910520753.1844151
2674,2019-05-15,104120599.36012067,132.785272926186,822655.0366602408,1374628.0,1245027.0,57304260.79416496,493279337.805929,779240540.7178217,910520753.1844151,130053542.96806316
2675,2019-05-16,23008393.7482994,132.785272926186,822655.0366602408,1374628.0,1245027.0,493279337.805929,779240540.7178217,910520753.1844151,130053542.96806316,104120599.36012067
2676,2019-05-17,28815365.616302866,132.785272926186,822655.0366602408,1374628.0,1245027.0,779240540.7178217,910520753.1844151,130053542.96806316,104120599.36012067,23008393.7482994
2677,2019-05-20,53804291.35639151,132.785272926186,822655.0366602408,1374628.0,1245027.0,910520753.1844151,130053542.96806316,104120599.36012067,23008393.7482994,28815365.616302866
2678,2019-05-21,109016638.67755754,132.785272926186,822655.0366602408,1374628.0,1245027.0,130053542.96806316,104120599.36012067,23008393.7482994,28815365.616302866,53804291.35639151
2679,2019-05-22,34063409.967074305,132.785272926186,822655.0366602408,1374628.0,1245027.0,104120599.36012067,23008393.7482994,28815365.616302866,53804291.35639151,109016638.67755754
2680,2019-05-23,60713106.538118,132.785272926186,822655.0366602408,1374628.0,1245027.0,23008393.7482994,28815365.616302866,53804291.35639151,109016638.67755754,34063409.967074305
2681,2019-05-24,21412685.26376746,132.785272926186,822655.0366602408,1374628.0,1245027.0,28815365.616302866,53804291.35639151,109016638.67755754,34063409.967074305,60713106.538118
2682,2019-05-27,420768641.0191218,132.785272926186,822655.0366602408,1374628.0,1245027.0,53804291.35639151,109016638.67755754,34063409.967074305,60713106.538118,21412685.26376746
2683,2019-05-28,21195555.876138,132.785272926186,822655.0366602408,1374628.0,1245027.0,109016638.67755754,34063409.967074305,60713106.538118,21412685.26376746,420768641.0191218
2684,2019-05-29,491059583.58335483,132.785272926186,822655.0366602408,1374628.0,1245027.0,34063409.967074305,60713106.538118,21412685.26376746,420768641.0191218,21195555.876138
2685,2019-05-30,38708819.63111788,132.785272926186,822655.0366602408,1374628.0,1245027.0,60713106.538118,21412685.26376746,420768641.0191218,21195555.876138,491059583.58335483
2686,2019-05-31,42908869.9989337,132.785272926186,822655.0366602408,1374628.0,1245027.0,21412685.26376746,420768641.0191218,21195555.876138,491059583.58335483,38708819.63111788
2687,2019-06-03,15185263.120193817,132.785272926186,835156.190275937,1347304.0,1315164.0,420768641.0191218,21195555.876138,491059583.58335483,38708819.63111788,42908869.9989337
2688,2019-06-04,24043283.18016703,132.785272926186,835156.190275937,1347304.0,1315164.0,21195555.876138,491059583.58335483,38708819.63111788,42908869.9989337,15185263.120193817
2689,2019-06-05,23373280.99382423,132.785272926186,835156.190275937,1347304.0,1315164.0,491059583.58335483,38708819.63111788,42908869.9989337,15185263.120193817,24043283.18016703
2690,2019-06-06,47788437.12860012,132.785272926186,835156.190275937,1347304.0,1315164.0,38708819.63111788,42908869.9989337,15185263.120193817,24043283.18016703,23373280.99382423
2691,2019-06-07,331874739.410643,132.785272926186,835156.190275937,1347304.0,1315164.0,42908869.9989337,15185263.120193817,24043283.18016703,23373280.99382423,47788437.12860012
2692,2019-06-10,742151019.578342,132.785272926186,835156.190275937,1347304.0,1315164.0,15185263.120193817,24043283.18016703,23373280.99382423,47788437.12860012,331874739.410643
2693,2019-06-11,71476024.53563665,132.785272926186,835156.190275937,1347304.0,1315164.0,24043283.18016703,23373280.99382423,47788437.12860012,331874739.410643,742151019.578342
2694,2019-06-12,1145623220.8614216,132.785272926186,835156.190275937,1347304.0,1315164.0,23373280.99382423,47788437.12860012,331874739.410643,742151019.578342,71476024.53563665
2695,2019-06-13,51389391.84411212,132.785272926186,835156.190275937,1347304.0,1315164.0,47788437.12860012,331874739.410643,742151019.578342,71476024.53563665,1145623220.8614216
2696,2019-06-14,126524571.37436676,132.785272926186,835156.190275937,1347304.0,1315164.0,331874739.410643,742151019.578342,71476024.53563665,1145623220.8614216,51389391.84411212
2697,2019-06-17,22303704.098250292,132.785272926186,835156.190275937,1347304.0,1315164.0,742151019.578342,71476024.53563665,1145623220.8614216,51389391.84411212,126524571.37436676
2698,2019-06-18,28484718.07483698,132.785272926186,835156.190275937,1347304.0,1315164.0,71476024.53563665,1145623220.8614216,51389391.84411212,126524571.37436676,22303704.098250292
2699,2019-06-19,35991897.853183046,132.785272926186,835156.190275937,1347304.0,1315164.0,1145623220.8614216,51389391.84411212,126524571.37436676,22303704.098250292,28484718.07483698
2700,2019-06-21,56891191.88043199,132.785272926186,835156.190275937,1347304.0,1315164.0,51389391.84411212,126524571.37436676,22303704.098250292,28484718.07483698,35991897.853183046
2701,2019-06-24,113932209.95420815,132.785272926186,835156.190275937,1347304.0,1315164.0,126524571.37436676,22303704.098250292,28484718.07483698,35991897.853183046,56891191.88043199
2702,2019-06-25,516333947.4323402,132.785272926186,835156.190275937,1347304.0,1315164.0,22303704.098250292,28484718.07483698,35991897.853183046,56891191.88043199,113932209.95420815
2703,2019-06-26,29761846.304029595,132.785272926186,835156.190275937,1347304.0,1315164.0,28484718.07483698,35991897.853183046,56891191.88043199,113932209.95420815,516333947.4323402
2704,2019-06-27,192983601.82273665,132.785272926186,835156.190275937,1347304.0,1315164.0,35991897.853183046,56891191.88043199,113932209.95420815,516333947.4323402,29761846.304029595
2705,2019-06-28,41888378.70028951,132.785272926186,835156.190275937,1347304.0,1315164.0,56891191.88043199,113932209.95420815,516333947.4323402,29761846.304029595,192983601.82273665
2706,2019-06-30,207426590.23598883,132.785272926186,835156.190275937,1347304.0,1315164.0,113932209.95420815,516333947.4323402,29761846.304029595,192983601.82273665,41888378.70028951
2707,2019-07-01,18960483.155779243,148.854056615552,819899.8745756147,1248106.0,1199670.0,516333947.4323402,29761846.304029595,192983601.82273665,41888378.70028951,207426590.23598883
2708,2019-07-02,21132582.33694469,148.854056615552,819899.8745756147,1248106.0,1199670.0,29761846.304029595,192983601.82273665,41888378.70028951,207426590.23598883,18960483.155779243
2709,2019-07-03,-209539.42282049134,148.854056615552,819899.8745756147,1248106.0,1199670.0,192983601.82273665,41888378.70028951,207426590.23598883,18960483.155779243,21132582.33694469
2710,2019-07-04,37326423.103482045,148.854056615552,819899.8745756147,1248106.0,1199670.0,41888378.70028951,207426590.23598883,18960483.155779243,21132582.33694469,-209539.42282049134
2711,2019-07-05,110116437.71232894,148.854056615552,819899.8745756147,1248106.0,1199670.0,207426590.23598883,18960483.155779243,21132582.33694469,-209539.42282049134,37326423.103482045
2712,2019-07-08,384666822.93574655,148.854056615552,819899.8745756147,1248106.0,1199670.0,18960483.155779243,21132582.33694469,-209539.42282049134,37326423.103482045,110116437.71232894
